nombre ,indipais,numero
CONFECCIONES J C HERMANOS,571,2000068
NEOLACT,571,2001895
FRUTAS Y VERDURAS DON ANTONIO,571,2002943
MISCELANEA JANETH M.H,571,2005154
PUERTO NUEVO BARRANQUILLITA,571,2006103
DEL CAMPO A TU CASA,571,2006545
GENEWORLD,571,2009128
COMPRA VENTA RE ESTRENO,571,2010771
DROGUERIA HOSPITALARIA MARIYN S,571,2023141
ELECTROILUMINACIONES PREMIUM W P,571,2048961
SUPERMERCADO LOS NIETOS,571,2054126
RAMITORNILLOS Y FERRETERIA,571,2057873
TIENDA DON VICENTE,571,2069022
EMPANADAS LA VICTORIA,571,2076085
MARKARNES LA VICTORIA,571,2081603
ALFOCAMARAS,571,2100171
CONFECCIONES SANTINES,571,2100211
CIMA AUDIO PRODUCCIONES,571,2100466
ACADEMICOS EULER GRUPO DE APOYO EDUCATIVO,571,2100507
ORGANIZACION ELECTRODOMESTICA,571,2100815
MUNDIAL DE MALETAS,571,2100930
SOLO TONNER,571,2100953
CASA COMERCIAL PANORAMA,571,2100954
COMERCIALIZADORA ELECTROINTEGRAL,571,2100973
CASA COMERCIAL LAGOMAR,571,2100984
VARIEDADES ODILIA,571,2101089
R&G REPUESTOS Y GASODOMESTICOS,571,2101098
LOS VESTIDOS CHAPINERO,571,2101287
PORTAL DE LAS EMPANADAS DEL NORTE,571,2101330
ELECTROREDES HB,571,2101536
TEJIDOS JAMER ESTACION 67,571,2101659
INVERSIONES J B M A,571,2101801
CIGARRERIA Y CAFETERIA DON POCHO,571,2101848
TU CASITA DE MEDIAS PARQUE LOURDES,571,2102227
FARMACIA EL ALQUIMISTA,571,2102401
Fundación Interamericana Técnica,571,2102470
SMART TRAINING SOCIETY LOURDES,571,2102484
LIBRERIA ESPIRITUAL,571,2102590
CAFE BLOSSOM,571,2102629
LA ECONOMIA DROGUERIA # 719 Y/O DROGAS LA ECONOMIA # 719,571,2103640
TIENDA TALLER CHAPINERO,571,2104169
INKJETONER,571,2104198
ACADEMIA DE AUTOMOVILISMO AUTO APRENDIZAJE,571,2104510
TECNIRECARGAS MILENIUM,571,2110216
PAPA JOHNS CHAPINERO,571,2110337
ALVARO GALEANO M,571,2110826
SUPERMERCADO MALAGU,571,2110972
CONSTRUIR FAMILIA,571,2111004
CAMISERIA MODERNA VESTIDOS NUEVA IMAGEN,571,2111208
Chapinerocentro,571,2111621
COMUNA KORIPAMPA,571,2111785
CENTRO DE ESTETICA Y BELLEZA GLORIA,571,2111790
ALMACEN VERANEO NO 16,571,2112010
ALMACEN VERANEO,571,2112010
ALMACEN VERANEO,571,2112010
CALZADO EXCLUSIVO UNIQUE FOOTWEAR,571,2112039
ALMACENES SANZO,571,2112136
SONY COLOR BEETHOVEN,571,2112327
TREASURES ANTIQUES,571,2112546
IMPORTMODA APV,571,2112590
DROGUERIA FRANCOOP R.P,571,2112677
AGRICOLAS VALENCIA R V,571,2112991
RELOJERIA Y JOYERIA NEVARDO,571,2113041
COPINOTAS ALCO,571,2113379
CIGARRERIA POLACA EXPRESS,571,2113455
SASON Y SABOR DE LA 67,571,2113558
MURANO STYLOS PELUQUERIA,571,2113818
DROGAS ROVIRA,571,2113874
FABRICA COLOMBIANA DE SELLOS CESAR SERRANO R,571,2113912
RED SOL,571,2114204
TELECOMUNICACIONES GIFO,571,2114205
CHIROS DE KCHMIRAS NO 1,571,2114212
GRUPO NAVARRO,571,2114726
EL COPETON M C,571,2114998
FUNDACION PARA LA COOPERACION SYNEGIA,571,2115026
EL BARATON DE CHAPINERO,571,2115082
PARQUEADERO 86,571,2115407
V D EL MUNDO A SUS PIES NO 58,571,2116008
CALZADO NUEVA MODA 5,571,2116162
BILLAR CAPITAL BOGOTA,571,2116170
RECARSISTEM S,571,2116365
PELUQUERIA ROSA CRUZ,571,2116490
OPTICA ALEMANA,571,2117010
ARTURO CALLE BOGOTA,571,2117324
CASA COMERCIAL EL CAMPIN,571,2117391
MUSICALES PUNTO AZUL,571,2117624
CHARCUTERIA EL NOGAL DE LA 57,571,2118634
FRUTERIA FRUTY TODO,571,2118826
PAPELERIA CAMPIN,571,2118863
DEL QUINDIO,571,2118960
GABRIELAS LIZOS Y EXTENSIONES,571,2119078
SHEKINA COLECCION,571,2119087
VERCHIEL BOUTIQUE,571,2119087
MINI-MERCADO LA SELECCION,571,2119125
Fundación de Educacion Superior San José,571,2119137
COLOMBIA Y EL MUNDO DE HOY,571,2119229
SELECTOS DEL VALLE,571,2119363
BELOIT,571,2119384
THEOBIBLOS,571,2119534
PELUQUERIA PILUS LA 64,571,2119632
TELEVENTAS S A,571,2120256
FERIA DEL ZAPATO DE BUCARAMANGA,571,2120813
CALZADO DIANA PAOLA SHOES,571,2120952
BOLSOS Y CALZADO JEIZ,571,2120952
MOLLY AND MY,571,2121231
CAFETERIA BUONISSIMO,571,2121534
COMPRA VENTA DE ROPA USADA JUANPIS,571,2121709
NATURALMENTE DELICIOSO,571,2121982
INDUSTRIAS ALIMENTICIAS ARETAMA S.A. ALMACEN NO.43,571,2122221
INGENIERIA ELECTRONICA AUDIOMARKET E U,571,2122297
JOHNBANDERA,571,2122355
GRAFIKANDO DISEÑO INTERACTIVO,571,2122795
CAPITAL EXPRESS-25,571,2123001
NATURLANDIA,571,2123034
D'FRANA PELUQUERIA,571,2123224
FERREMAX 9,571,2123517
CAPTRONIC,571,2123560
CALZADO DONICETTY,571,2123852
CALZADO LEONORIS,571,2123852
ABAD DE LA ELEGANCIA,571,2123905
AGENCIA COMERCIAL EXITO CHAPINERO,571,2124022
CAPITAL EXPRESS 24,571,2124418
DISTRIBUIDORA DE DULCES Y DESECHABLES LA CAVA,571,2124585
ALMACEN DE CALZADO ANITA,571,2124591
COMERCIALIZADORA Y PRODUCTORA DE ALIMENTOS DISTRIBELL,571,2125041
JERICO DISTRIBUCIONES,571,2125057
FERREELECTRICOS D ELA 61,571,2125144
MODAS MARYTELL,571,2125349
TECNICAL MUSIC,571,2125530
CALZADO MARIA VANESSA,571,2125912
Escuela de Auxiliares de Enfermería UNISALUD,571,2125939
CMREDES ELECTRICAS LTDA,571,2126118
CASA COMERCIAL NEW ORLEANS,571,2126138
PUNTO LINEA MEDICA,571,2126274
Instituto Superior de Ciencias Sociales y Economicas y Familiares,571,2126395
DERMAPIEL S A,571,2126540
DERMAPIEL S A,571,2126540
MODAS LUSUAR,571,2126565
OLIVETO PIZZA,571,2126570
V D EL MUNDO A SUS PIES NO 07,571,2126635
PLATERIA GLADYS,571,2126750
PAPELERIA CENTRO COMPUTO,571,2126780
DISFELECTRICOS,571,2126837
CASA COMERCIAL LA 65,571,2126840
MILARTES Y NAVIDEÑOS,571,2126857
LADY ELIZABETH,571,2126931
CASA COMERCIAL ONIX,571,2126939
ELECTRONICA AMBAR,571,2127296
LAMPARAS 13-94,571,2127395
LE MONDE DIPLOMATIQUE,571,2127397
DIFUSOR DE MARCA,571,2127493
ALMACEN VELEZ NO 27,571,2128010
GEMA FASHION,571,2128051
GALERIA ENMARCACIONES ROJO Y NEGRO,571,2128147
INK LOGIC TECNOLOGY,571,2128266
INK COLOR SUMINISTROS,571,2128266
CIGARRERIA CHAPINERO,571,2128638
CIGARRERIA CAFETERIA BILBAO,571,2128638
BLOCKS PELUQUERIA 2,571,2128764
CASA COMERCIAL LOS DIAMANTES,571,2129284
SUPERMECADO STEFANY,571,2129420
CAFETERIA KAYITA,571,2129607
KREA T,571,2129805
PELUQUERIA HERNANDO SALAMANCA,571,2129857
CREPESMANIA,571,2132030
FRASES ACCESORIOS,571,2133190
GOD S DOGS,571,2133746
CASTELY,571,2165570
COLOMBIAN COFFEE SERVICE,571,2171007
ALMACEN GEDUVAR,571,2171372
J.M. SERVICIO TECNICO ESPECIALIZADO,571,2171390
PROMUSICA INSTRUMENTOS MUSICALES,571,2171462
