nombre,indipais,telefono,,,,,,,,,,,,,,,,,,,,,
SCI MUNDO ANDINA CUCUTA SAS,57,3002043612,,,,,,,,,,,,,,,,,,,,,
PROPLAS S.A,57,3002047094,,,,,,,,,,,,,,,,,,,,,
TEAM FOODS COLOMBIA S.A,57,3002059755,,,,,,,,,,,,,,,,,,,,,
LA CASONA DEL CAMPO DEL FUTURO,57,3002102058,,,,,,,,,,,,,,,,,,,,,
LA CASONA DEL CAMPO DEL FUTURO,57,3002102058,,,,,,,,,,,,,,,,,,,,,
ARNESES Y GOMAS S.A,57,3002110546,,,,,,,,,,,,,,,,,,,,,
I.G.T. S.A.S.,57,3002113309,,,,,,,,,,,,,,,,,,,,,
FLORES CHIPATA S.A.,57,3002121647,,,,,,,,,,,,,,,,,,,,,
ESPIRAL UNIVERSAL S.A.S,57,3002121979,,,,,,,,,,,,,,,,,,,,,
SIGMA LTDA,57,3002125615,,,,,,,,,,,,,,,,,,,,,
EMPACAR LTDA,57,3002180323,,,,,,,,,,,,,,,,,,,,,
TEJAR SAN GERARDO SAS,57,3002180692,,,,,,,,,,,,,,,,,,,,,
TEJAR SAN GERARDO SAS,57,3002180902,,,,,,,,,,,,,,,,,,,,,
JOYERIA COLOMBIANA,57,3002185567,,,,,,,,,,,,,,,,,,,,,
SILVERY FROG,57,3002197755,,,,,,,,,,,,,,,,,,,,,
SILVERY FROG,57,3002197755,,,,,,,,,,,,,,,,,,,,,
COGNOX S.A.S,57,3002212891,,,,,,,,,,,,,,,,,,,,,
ESTRUCTURAS PLASTICAS MADERPLAST S.A,57,3002230006,,,,,,,,,,,,,,,,,,,,,
BATERIAS FAICO,57,3002243214,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS DIPSA SAS,57,3002437764,,,,,,,,,,,,,,,,,,,,,
COGNOX S.A.S,57,3002439521,,,,,,,,,,,,,,,,,,,,,
SANTIFICADA W,57,3002558784,,,,,,,,,,,,,,,,,,,,,
LABORATORIOS LINCOLN S.A.S.,57,3002635054,,,,,,,,,,,,,,,,,,,,,
MOVIL VENTAS S.A.S.,57,3002653333,,,,,,,,,,,,,,,,,,,,,
EMPRESA COLOMBIANA DE LAMINADOS - ECOLAMINADOS S.A.S.,57,3002664582,,,,,,,,,,,,,,,,,,,,,
A Y P DE COLOMBIA,57,3002667271,,,,,,,,,,,,,,,,,,,,,
INVERSIONES FAJITEX S.A.S.,57,3002677326,,,,,,,,,,,,,,,,,,,,,
RAMONERRE,57,3002687019,,,,,,,,,,,,,,,,,,,,,
SKIT CONSULTING LTDA,57,3002687964,,,,,,,,,,,,,,,,,,,,,
SKIT CONSULTING LTDA,57,3002687964,,,,,,,,,,,,,,,,,,,,,
ANALYTIC BOARD S.A.S,57,3002699653,,,,,,,,,,,,,,,,,,,,,
S4N,57,3002769529,,,,,,,,,,,,,,,,,,,,,
ALUMINOX - CARLOS FERNANDO TELLEZ,57,3002783873,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS VICTORINA SAS,57,3002791249,,,,,,,,,,,,,,,,,,,,,
IBS ZONA FRANCA S.A.S.,57,3002873776,,,,,,,,,,,,,,,,,,,,,
CELESTIAL,57,3002968431,,,,,,,,,,,,,,,,,,,,,
FOMOPART,57,3003045730,,,,,,,,,,,,,,,,,,,,,
SCI MUNDO ANDINA CUCUTA SAS,57,3003110559,,,,,,,,,,,,,,,,,,,,,
DIANA TOUS ACCESORIOS S.A.S.,57,3003185984,,,,,,,,,,,,,,,,,,,,,
MARKE-TEAM LTDA,57,3003190832,,,,,,,,,,,,,,,,,,,,,
MEDIAFEEL SAS,57,3003205905,,,,,,,,,,,,,,,,,,,,,
INTEGRACIÓN TECNOLÓGICA SAS,57,3003244571,,,,,,,,,,,,,,,,,,,,,
BRANDSTUDIO SAS,57,3003257143,,,,,,,,,,,,,,,,,,,,,
